time_steps,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
452,0,0,2,3,1,1,3,2
453,0,0,0,-1,-1,-6,-3,0
454,1,1,-1,-4,-2,2,2,1
455,0,0,-2,-2,-3,-7,-3,-1
456,0,-1,-2,0,3,11,0,0
457,-2,-3,0,0,-4,-12,-1,0
458,-1,0,0,0,-1,-5,-2,-1
459,0,-1,0,-2,-1,2,1,-1
460,-2,0,-2,1,-2,-4,-1,0
461,0,0,-1,-1,-3,0,-2,0
462,0,-2,0,0,1,0,-1,-1
463,-1,0,-2,-3,2,3,0,0
464,0,-3,-1,0,-2,0,-3,-1
465,-1,0,0,-1,-2,-9,-1,-2
466,-1,-1,-1,-1,-2,17,0,1
467,-1,-2,-1,-2,-3,3,0,0
468,1,0,1,-2,-2,-6,-1,1
469,1,-1,0,2,0,-1,0,-2
470,-1,0,0,-6,-1,-2,0,-2
471,0,0,0,-3,-1,2,0,-1
472,-1,-2,-1,0,-2,-10,0,-2
473,-1,-1,-1,-2,-2,3,-1,-1
474,-3,0,-2,1,0,-1,-3,0
475,-2,-3,-3,0,-2,-6,0,0
476,-2,-1,-1,-1,-1,1,-1,-2
477,0,0,-1,-1,-1,3,0,-3
478,-1,-2,-1,-1,2,-2,-2,1
479,0,0,1,-2,-5,-9,-2,-1
480,0,-1,-1,-1,-2,3,-2,-1
481,2,0,-2,0,2,12,2,-1
482,-1,0,-1,0,-1,-8,-3,-1
483,-2,-2,0,-2,-3,-2,-2,-2
484,0,-1,-1,-2,-2,-6,-2,-2
485,-1,-1,-2,-2,-2,-6,0,-2
486,-1,-1,-1,-1,0,0,0,-1
487,0,0,-2,2,1,1,0,0
488,0,0,-2,-1,0,3,1,1
489,0,-2,0,-1,-1,-12,-2,1
490,-3,-2,-2,2,0,17,-1,-1
491,-1,0,-1,-3,-3,-12,-2,-2
492,-2,0,-2,-3,-1,-1,-3,0
493,0,0,0,1,5,5,2,2
494,0,0,1,0,-4,-20,-2,-2
495,0,0,1,1,1,7,0,0
496,-1,-1,-3,-1,-3,-2,1,-1
497,-2,-1,-3,-1,-3,-12,-1,-1
498,-2,1,0,0,0,6,1,0
499,-1,-1,-3,0,0,0,0,-2
500,1,1,2,0,1,5,0,-2
501,-1,-3,-2,-3,0,24,2,-1
502,0,-2,-3,-3,-4,-9,0,-1
503,-2,1,-1,0,-2,-2,-1,-2
504,-1,-2,-4,-1,-4,7,-2,-2
505,-2,-1,-2,0,-2,-3,-3,2
506,0,-3,-1,-2,2,-5,-1,0
507,0,-1,-1,0,0,-6,-2,1
508,-1,-1,1,1,-2,-6,1,0
